,symbol,id
351,کهربا,25559236668122210
352,کهرام,25631699615003698
353,وغدیر,26014913469567886
354,شلیا,26025177574491991
355,گنگین2,26212793770779783
356,زشگزا,26259366519412975
357,پی پاد,26316376625263940
358,خلیج,26458514535443899
359,میهن,26543014712914772
360,دیوان,26547362091465395
361,زشریف,26547785441834730
362,ثبات,26780282166315918
363,خبهمن,26824673819862694
364,باران,26882843763780650
365,سشرق,26997316501080743
366,سدشت,27000326841257664
367,زمرد کوروش2,27025263421446871
368,جم پیلن,27096851668435724
369,وفتخار,27148572013604038
370,سدور,27218386411183410
371,فنر,27276541005386425
372,داراب,27299841173245405
373,شکربن,27308217070238237
374,اتکام,27405735172634593
375,ثمین2,27510897859289217
376,خبرگان,27639047710974505
377,سپرمی,27668158733246204
378,نخل,27797446447955609
379,ثروت,27812005859539773
380,رکیش,27952969918967492
381,خفنر,28033133021443774
382,فغدیر,28147934478934110
383,قجام,28230238564334914
384,حخزر,28253678449273505
385,زروان,28255729477187163
386,کزغال,28291104595448527
387,سجام,28328083629154916
388,وبوعلی,28328710198554144
389,آلتون,28374437855144739
390,کاسپین,28431095903407567
391,سیمرغ,28450080638096732
392,زیتون,28551661889797217
393,کخاک2,28589281830072356
394,غسالم,28672095850798501
395,الماس,28788598290160782
396,حفاری,28809886765682162
397,شپلی,28845264556937486
398,فخوز,28864540805361867
399,چکاپا,28957320033282870
400,کسعدی,29122854902865456
401,دلقما,29247915161590165
402,پلوله,29316948750916349
403,سپیدار,29590002988360984
404,سهرمز,29747059672582491
405,تیپیکو,29758477602878557
406,بمان2,29823003612377000
407,ما,29860265627578401
408,بزاگرس,29882244560576007
409,یاقوت2,29884261753438378
410,فروی,29974853866926823
411,انار,30215634246748564
412,آکورد,30282299500988269
413,نارین,30430907997908005
414,حرهشا,30443839313522574
415,ومدیر,30447901674051381
416,انار2,30501058473529647
417,ثجوان,30507152381699953
418,تخت گاز,30507739597192201
419,ناب,30582275818828857
420,لبوتان,30650426998863332
421,کگهر,30703140537034664
422,تکمبا,30719054967088301
423,پتروصبا,30762816122316539
424,فجام,30765727085936322
425,ستران,30829203706095076
426,ثفارس,30852391633490755
427,شسینا,30974710508383145
428,نیک گستر,30977409629493496
429,غگرجی,31024260997481994
430,آوند,31039212000825988
431,شتهران,31049085025064185
432,ولشرق,31078457170311964
433,نیلی,31188566503248753
434,مروارید,31248540252187559
435,قرن2,31302503462797288
436,ارمغان,31366347648583654
437,سپنتارود,31379272181300633
438,لبخند,31569200988534548
439,فارمانی,31787507070992420
440,غشان,31791737198597563
441,خوساز,31879190587976736
442,سیناد,31913287805282551
443,ولقمان,31959715133485440
444,آریان,31987503418964901
445,ثنا,32112121249636248
446,کحافظ,32257753560585502
447,ساوه,32347247706508046
448,جم,32357363984168442
449,مثقال,32469128621155736
450,سبهان,32525655729432562
451,کلوند,32678431934327184
452,پیزد,32784604551756178
453,خزر,32821908911812078
454,ثنوسا,32845891587040106
455,مانا,32941062994509455
456,ثبات4,32954653822770119
457,کارما,33015297618582406
458,زرفام,33144542989832366
459,زر,33254899395816171
460,وپارس,33293588228706998
461,دجابر,33406621820337161
462,رفاه,33410001534682920
463,زپارس,33420285433308219
464,میدکو,33441514568901717
465,رابین,33527290777160784
466,واتی,33541897671561960
467,دشیمی,33603212156438463
468,غشهداب,33611155027418901
469,بجهرم,33629260529503413
470,بهین رو4,33704212807184041
471,خنور,33716211077781594
472,خچرخش,33783140337377394
473,سمازن,33808206014018431
474,رنیک,33854964748757477
475,آگاس,33887145736684266
476,ونوین2,33892797747624170
477,پناه2,33903462343209810
478,همتا,33923981945674722
479,ونفت,33931218652865616
480,صبا,33938004134399485
481,غپاک,34032872653290886
482,دارونو,34074071043606558
483,اونیکس4,34124591205336573
484,عیار,34144395039913458
485,عالیس,34213522001938649
486,تاراز2,34539190646780083
487,قاسم,34540569618314880
488,برکت,34557241988629814
489,درسا,34581754264880199
490,دتماد,34641719089573667
491,فاما,34673681828119297
492,کمند,34718633636164421
493,سفاسی,34721884030854211
494,خوشه2,34728319594918952
495,بازده,34856765062083074
496,ساربیل,34890845654517313
497,غاذر,35158826900216508
498,اعتبار,35163287528816137
499,شپاس,35178706978554988
500,اردستان,35331248532537562
501,شبندر,35366681030756042
502,ومشان,35369183060321179
503,حفارس,35424116338766901
504,فملی,35425587644337450
505,فماک,35445515321658835
506,قتربت,35515916857426389
507,تاتمس,35543935713999309
508,سپاها,35669480110084448
509,کگل,35700344742885862
510,گوهر2,35757908588761589
511,شیران,35796086458096255
512,نارنج اهرم,35831329532779850
513,سرچشمه,35948133957468680
514,قشکر,35964395659427029
515,سرو2,36273975537785965
516,والماس,36282416082320053
517,سفارس2,36405517003363034
518,آسام,36592972482259020
519,قشرین,36671655475498480
520,اعتلا,36773155987365094
521,زفجر,36844527173896115
522,کاج2,36847745437379950
523,شفا,36899214178084525
524,سنوین,36995197800118822
525,آفرین,37028614515926436
526,آفاق,37073830945037165
527,خبنیان,37089148943784077
528,مالک آتیه,37118058361762279
529,وصندوق,37204371816016200
530,بذر,37222720235819361
531,سیدکو,37281199178613855
532,فسبزوار,37284308569715577
533,توریل,37389789764168256
534,نیلی2,37410990525917550
535,وساپا,37614886280396031
536,قشهد,37631109616997982
537,آبادا,37661500521100963
538,ساحل2,37680244836461090
539,پتروآگاه,37828981835497620
540,غویتا,37842793167868642
541,خدیزل,38084304113529336
542,ضمان,38356837895042988
543,کرماشا,38437201078089290
544,جواهر,38544104313215500
545,فاذر,38547060135156069
546,شتوکا,38555056423456635
547,شیراز,38568786927478796
548,تایرا2,38572491546497662
549,کیسون,38628771709301941
550,ثهام,38713440086361985
551,آرمان,38738476064699383
552,ستاره,38845574746937458
553,شلعاب,39116664428676213
554,کیسون2,39163585165440389
555,خمحرکه,39436183727126211
556,تداوم,39453972158399542
